Student_ID,Name,Class,Attendance,Study_Hours,Math,Science,English,History,Computer,Average_Marks,Grade
S061,Student_61,A,71,17,71,75,35,37,40,51.6,D
S062,Student_62,B,64,2,38,71,91,97,37,66.8,C
S063,Student_63,B,64,11,84,45,100,82,44,71.0,B
S064,Student_64,A,58,15,54,86,41,48,50,55.8,C
S065,Student_65,C,98,13,68,91,38,69,43,61.8,C
S066,Student_66,A,64,18,75,35,100,67,41,63.6,C
S067,Student_67,C,78,11,68,62,84,50,77,68.2,C
S068,Student_68,A,85,9,66,63,86,47,37,59.8,C
S069,Student_69,C,74,10,61,85,75,96,31,69.6,C
S070,Student_70,C,96,4,83,54,43,32,73,57.0,C
S071,Student_71,C,73,18,88,87,39,78,74,73.2,B
S072,Student_72,A,85,7,56,53,68,93,61,66.2,C
S073,Student_73,B,74,5,90,91,40,53,83,71.4,B
S074,Student_74,B,61,4,36,40,97,60,33,53.2,D
S075,Student_75,C,53,7,90,31,68,87,63,67.8,C
S076,Student_76,A,61,19,85,39,96,42,65,65.4,C
S077,Student_77,B,51,15,69,85,74,75,33,67.2,C
S078,Student_78,B,94,13,73,34,79,76,97,71.8,B
S079,Student_79,B,74,0,47,30,80,44,42,48.6,D
S080,Student_80,C,53,16,78,50,98,70,47,68.6,C
S081,Student_81,C,54,17,90,39,65,47,47,57.6,C
S082,Student_82,C,100,11,63,96,87,57,55,71.6,B
S083,Student_83,C,71,10,57,92,64,58,74,69.0,C
S084,Student_84,C,51,14,72,95,80,78,56,76.2,B
S085,Student_85,C,95,6,78,87,31,46,70,62.4,C
S086,Student_86,C,61,9,76,69,99,79,64,77.4,B
S087,Student_87,B,50,7,66,84,32,82,44,61.6,C
S088,Student_88,B,70,13,78,30,64,52,38,52.4,D
S089,Student_89,C,53,4,59,63,64,88,57,66.2,C
S090,Student_90,A,70,17,96,84,39,70,51,68.0,C
S091,Student_91,A,62,6,31,38,59,55,85,53.6,D
S092,Student_92,A,69,18,71,91,74,50,56,68.4,C
S093,Student_93,A,92,16,64,51,42,66,90,62.6,C
S094,Student_94,C,68,9,98,95,67,90,36,77.2,B
S095,Student_95,B,96,12,100,91,97,80,46,82.8,B
S096,Student_96,B,85,15,64,96,32,87,90,73.8,B
S097,Student_97,A,65,7,36,78,87,33,50,56.8,C
S098,Student_98,C,77,13,50,99,80,50,95,74.8,B
S099,Student_99,C,88,10,94,47,57,71,45,62.8,C
S100,Student_100,C,63,18,71,89,76,40,93,73.8,B
S101,Student_101,A,58,11,95,41,83,65,88,74.4,B
S102,Student_102,C,82,12,85,36,66,63,52,60.4,C
S103,Student_103,B,88,14,37,43,43,69,79,54.2,D
S104,Student_104,C,94,20,68,80,97,84,90,83.8,B
S105,Student_105,C,66,1,44,52,87,96,55,66.8,C
S106,Student_106,A,85,8,39,79,60,79,49,61.2,C
S107,Student_107,A,71,9,78,85,94,98,83,87.6,A
S108,Student_108,C,84,6,74,91,78,31,54,65.6,C
S109,Student_109,B,92,9,95,54,90,49,75,72.6,B
S110,Student_110,B,77,1,42,75,76,68,79,68.0,C
S111,Student_111,B,50,4,100,67,49,82,85,76.6,B
S112,Student_112,C,84,2,30,33,30,32,99,44.8,D
S113,Student_113,C,66,11,70,68,94,74,59,73.0,B
S114,Student_114,C,57,0,51,36,56,84,33,52.0,D
S115,Student_115,C,82,10,91,57,94,82,76,80.0,B
S116,Student_116,B,68,20,41,66,57,56,64,56.8,C
S117,Student_117,C,53,15,70,35,82,42,48,55.4,C
S118,Student_118,B,91,19,46,66,85,50,73,64.0,C
S119,Student_119,C,84,14,79,85,30,90,86,74.0,B
S120,Student_120,B,100,5,88,45,91,72,50,69.2,C
S121,Student_121,C,95,11,72,42,67,61,42,56.8,C
S122,Student_122,A,61,12,30,67,38,67,41,48.6,D
S123,Student_123,B,82,5,84,47,33,61,97,64.4,C
S124,Student_124,B,81,7,100,75,85,40,98,79.6,B
S125,Student_125,C,81,16,69,92,97,94,86,87.6,A
S126,Student_126,B,86,19,71,63,55,44,67,60.0,C
S127,Student_127,A,83,19,40,59,58,85,80,64.4,C
S128,Student_128,B,74,5,57,47,66,54,60,56.8,C
S129,Student_129,C,81,9,64,71,70,65,100,74.0,B
S130,Student_130,B,70,13,59,100,51,46,58,62.8,C
S131,Student_131,C,66,8,71,72,42,62,71,63.6,C
S132,Student_132,C,93,4,46,71,67,41,59,56.8,C
S133,Student_133,C,97,15,40,78,96,96,62,74.4,B
S134,Student_134,A,60,10,76,90,93,47,96,80.4,B
S135,Student_135,B,65,20,94,86,64,41,50,67.0,C
S136,Student_136,A,77,20,79,98,36,50,65,65.6,C
S137,Student_137,B,57,6,96,99,33,89,46,72.6,B
S138,Student_138,A,96,16,79,36,67,34,100,63.2,C
S139,Student_139,A,69,12,51,36,100,31,64,56.4,C
S140,Student_140,B,96,11,51,80,79,54,58,64.4,C
S141,Student_141,A,64,19,80,45,67,90,81,72.6,B
S142,Student_142,A,72,5,44,87,73,96,91,78.2,B
S143,Student_143,A,77,19,75,96,75,84,81,82.2,B
S144,Student_144,A,81,8,41,33,98,98,80,70.0,B
S145,Student_145,B,69,5,52,50,43,56,95,59.2,C
S146,Student_146,B,98,3,95,78,68,37,71,69.8,C
S147,Student_147,B,98,15,60,66,59,49,54,57.6,C
S148,Student_148,B,56,5,100,41,31,54,74,60.0,C
S149,Student_149,B,57,15,37,36,70,33,94,54.0,D
S150,Student_150,C,65,19,47,93,91,96,100,85.4,A
S151,Student_151,A,97,1,85,73,62,36,82,67.6,C
S152,Student_152,A,76,12,34,64,67,60,56,56.2,C
S153,Student_153,A,66,18,66,78,45,37,88,62.8,C
S154,Student_154,C,53,11,91,81,88,64,84,81.6,B
S155,Student_155,B,83,12,79,33,99,100,70,76.2,B
S156,Student_156,A,99,5,95,54,65,71,60,69.0,C
S157,Student_157,B,86,9,80,72,53,45,94,68.8,C
S158,Student_158,A,99,9,89,62,81,79,46,71.4,B
S159,Student_159,A,55,7,85,48,67,45,72,63.4,C
S160,Student_160,A,57,6,40,72,80,97,82,74.2,B
S161,Student_161,A,97,17,80,93,96,33,97,79.8,B
S162,Student_162,B,85,13,100,38,31,67,48,56.8,C
S163,Student_163,B,50,11,91,44,57,83,99,74.8,B
S164,Student_164,C,73,6,33,92,66,50,88,65.8,C
S165,Student_165,A,91,15,58,66,42,88,78,66.4,C
S166,Student_166,A,89,4,87,76,53,69,37,64.4,C
S167,Student_167,C,60,11,90,78,96,90,80,86.8,A
S168,Student_168,B,98,6,58,55,60,76,60,61.8,C
S169,Student_169,B,54,17,64,34,89,35,95,63.4,C
S170,Student_170,B,61,4,60,55,44,73,58,58.0,C
S171,Student_171,B,74,10,87,86,61,76,54,72.8,B
S172,Student_172,C,71,1,89,50,39,55,88,64.2,C
S173,Student_173,C,83,2,82,78,87,32,77,71.2,B
S174,Student_174,A,76,4,82,37,100,42,69,66.0,C
S175,Student_175,B,62,12,76,62,54,55,54,60.2,C
S176,Student_176,B,65,20,63,33,67,82,54,59.8,C
S177,Student_177,A,64,12,54,54,54,34,67,52.6,D
S178,Student_178,C,54,8,90,52,76,70,51,67.8,C
S179,Student_179,C,58,2,51,76,83,94,72,75.2,B
S180,Student_180,A,66,16,62,46,93,92,72,73.0,B
S181,Student_181,C,78,12,71,53,81,68,96,73.8,B
S182,Student_182,C,70,9,73,32,36,87,74,60.4,C
S183,Student_183,C,60,3,81,32,95,100,38,69.2,C
S184,Student_184,A,58,5,63,31,41,31,91,51.4,D
S185,Student_185,C,81,1,63,49,42,78,95,65.4,C
S186,Student_186,C,91,15,47,60,61,91,50,61.8,C
S187,Student_187,B,76,14,61,88,77,59,59,68.8,C
S188,Student_188,C,55,18,45,67,63,81,62,63.6,C
S189,Student_189,A,96,8,97,96,40,57,49,67.8,C
S190,Student_190,C,58,16,72,31,83,68,37,58.2,C
S191,Student_191,B,54,12,46,74,49,34,60,52.6,D
S192,Student_192,C,94,15,39,97,70,34,44,56.8,C
S193,Student_193,A,69,20,86,44,74,34,99,67.4,C
S194,Student_194,B,89,7,38,61,35,72,92,59.6,C
S195,Student_195,B,73,18,41,31,57,43,82,50.8,D
S196,Student_196,C,84,10,70,37,75,88,78,69.6,C
S197,Student_197,B,88,9,34,85,35,58,63,55.0,C
S198,Student_198,A,70,13,63,38,38,66,80,57.0,C
S199,Student_199,A,80,9,34,64,85,80,57,64.0,C
S200,Student_200,A,64,10,62,80,45,76,31,58.8,C
